Region,Year,Month,temperature_2m_max,precipitation_sum,vapour_pressure_deficit_max,soil_moisture_0_to_7cm_mean,relative_humidity_2m_mean
AB1,2011,10,14.4,0.787096774,1.075483871,0.196709677,58.12903226
AB1,2011,11,4.896666667,0.593333333,0.577333333,0.1782,54.56666667
AB1,2011,12,2.322580645,0.361290323,0.337096774,0.238258065,68.70967742
AB1,2012,1,1.206451613,0.374193548,0.430967742,0.248709677,56.96774194
AB1,2012,2,2.551724138,0.517241379,0.467586207,0.259965517,60.03448276
AB1,2012,3,9.3,1.2,0.755483871,0.292774194,61.67741935
AB1,2012,4,13.47333333,1.543333333,1.021333333,0.253966667,61.06666667
AB1,2012,5,16.28387097,3.058064516,1.223870968,0.300903226,61.90322581
AB1,2012,6,21.38333333,3.513333333,1.321666667,0.3132,67.06666667
AB1,2012,7,27.38709677,1.480645161,2.177741935,0.214967742,62
AB1,2012,8,27.16451613,0.496774194,2.653870968,0.152774194,49.58064516
AB1,2012,9,23.16,0.05,2.173666667,0.1328,44.46666667
AB1,2012,10,9.406451613,1.374193548,0.701290323,0.209677419,70.16129032
AB1,2012,11,3.053333333,0.736666667,0.315666667,0.299366667,75.26666667
AB1,2012,12,-2.919354839,0.277419355,0.229032258,0.295806452,72.61290323
AB1,2013,1,-1.577419355,0.606451613,0.213870968,0.324612903,72.38709677
AB1,2013,2,3.575,0.421428571,0.3925,0.33375,70.71428571
AB1,2013,3,4.24516129,0.509677419,0.504516129,0.329322581,65.29032258
AB1,2013,4,8.023333333,1.753333333,0.637,0.313466667,66.33333333
AB1,2013,5,18.86774194,1.725806452,1.409677419,0.24783871,57.51612903
AB1,2013,6,21.12333333,3.133333333,1.348666667,0.2963,67.6
AB1,2013,7,24.90645161,0.983870968,1.817419355,0.189709677,62.77419355
AB1,2013,8,26.92903226,1.035483871,2.381290323,0.184225806,56.80645161
AB1,2013,9,22.27333333,1.806666667,1.862333333,0.222433333,56.63333333
AB1,2013,10,9.983870968,0.422580645,0.617096774,0.190451613,69.64516129
AB1,2013,11,2.06,0.496666667,0.303666667,0.258266667,72.86666667
AB1,2013,12,-5.725806452,1.112903226,0.146451613,0.295193548,76.06451613
AB1,2014,1,0.261290323,0.380645161,0.278709677,0.341451613,69.61290323
AB1,2014,2,-3.810714286,0.078571429,0.324642857,0.319285714,59.46428571
AB1,2014,3,1.912903226,0.829032258,0.480967742,0.319645161,61.29032258
AB1,2014,4,11.99,1.07,0.951666667,0.294466667,59
AB1,2014,5,16.78064516,1.580645161,1.238387097,0.260677419,59.67741935
AB1,2014,6,19.62,2.8,1.262666667,0.255833333,66.86666667
AB1,2014,7,27.21612903,0.441935484,2.382903226,0.17483871,55.64516129
AB1,2014,8,25.03548387,3.141935484,1.904516129,0.250612903,66.41935484
AB1,2014,9,19.66,1.336666667,1.457666667,0.259166667,63.23333333
AB1,2014,10,16.39677419,0.609677419,1.236129032,0.189645161,57.19354839
AB1,2014,11,-0.91,1.636666667,0.243333333,0.3051,77.9
AB1,2014,12,-0.667741935,0.412903226,0.198709677,0.324096774,77.4516129
AB1,2015,1,-1.219354839,0.748387097,0.227419355,0.336129032,75.25806452
AB1,2015,2,1.378571429,0.364285714,0.35,0.342821429,65.85714286
AB1,2015,3,10.52580645,0.851612903,0.815483871,0.314967742,62.67741935
AB1,2015,4,13.61333333,0.433333333,1.130666667,0.2399,53.03333333
AB1,2015,5,18.53225806,0.506451613,1.578709677,0.162870968,49.06451613
AB1,2015,6,25.10333333,0.696666667,2.256,0.1732,53.6
AB1,2015,7,26.51935484,2.05483871,2.366774194,0.197516129,55.25806452
AB1,2015,8,27.23548387,0.706451613,2.659354839,0.172645161,49.74193548
AB1,2015,9,19.82666667,1.7,1.513333333,0.231633333,60.96666667
AB1,2015,10,15.73225806,0.748387097,1.131935484,0.209516129,60.83870968
AB1,2015,11,5.22,0.763333333,0.450333333,0.2449,64.9
AB1,2015,12,0.429032258,0.335483871,0.291612903,0.253354839,71.12903226
AB1,2016,1,0.006451613,0.351612903,0.263548387,0.280870968,73.74193548
AB1,2016,2,6.072413793,0.472413793,0.530689655,0.284034483,64.4137931
AB1,2016,3,10,0.567741935,0.773225806,0.260774194,60.80645161
AB1,2016,4,15.08,1.476666667,1.178666667,0.2368,56.86666667
AB1,2016,5,17.96774194,3.15483871,1.364516129,0.263032258,59.58064516
AB1,2016,6,24.12,1.91,1.957666667,0.2363,55.63333333
AB1,2016,7,24.80645161,2.361290323,1.769032258,0.250193548,66.58064516
AB1,2016,8,24.49032258,1.880645161,1.889677419,0.23383871,63.38709677
AB1,2016,9,19.42666667,1.07,1.459,0.207466667,58.96666667
AB1,2016,10,10.76451613,1.448387097,0.634193548,0.274806452,72.96774194
AB1,2016,11,9.813333333,0.203333333,0.667333333,0.244733333,67.1
AB1,2016,12,-5.977419355,0.441935484,0.200322581,0.233645161,66.35483871
AB1,2017,1,-2.54516129,0.274193548,0.322903226,0.248419355,66.41935484
AB1,2017,2,0.753571429,0.821428571,0.4475,0.291,65.39285714
AB1,2017,3,6.383870968,0.893548387,0.700967742,0.313677419,61.16129032
AB1,2017,4,12.58,1.613333333,0.932666667,0.286233333,64.66666667
AB1,2017,5,20.94193548,1.338709677,1.873870968,0.236,51.64516129
AB1,2017,6,23.55,2.146666667,2.044,0.234433333,55.16666667
AB1,2017,7,29.65483871,0.635483871,3.134516129,0.181419355,49.09677419
AB1,2017,8,27.26129032,0.483870968,2.783548387,0.174967742,47.90322581
AB1,2017,9,21.49,0.493333333,2.044,0.194266667,50.73333333
AB1,2017,10,11.36129032,2.077419355,0.861612903,0.267064516,60.48387097
AB1,2017,11,1.903333333,0.663333333,0.332666667,0.275866667,73.93333333
AB1,2017,12,-2.929032258,0.687096774,0.352903226,0.276548387,63.67741935
AB1,2018,1,-0.822580645,0.438709677,0.271935484,0.313129032,69.51612903
AB1,2018,2,-7.496428571,1.042857143,0.143214286,0.36825,70.71428571
AB1,2018,3,2.038709677,0.858064516,0.316129032,0.401290323,77.77419355
AB1,2018,4,10.74,0.43,0.972333333,0.3333,58.46666667
AB1,2018,5,22.7483871,1.074193548,2.142580645,0.166096774,51.41935484
AB1,2018,6,23.60333333,2.243333333,2.017333333,0.218,55.76666667
AB1,2018,7,26.83225806,1.15483871,2.572580645,0.200129032,55.64516129
AB1,2018,8,26.75806452,0.874193548,2.663548387,0.182870968,52.70967742
AB1,2018,9,16.13,0.726666667,1.154,0.209033333,68.16666667
AB1,2018,10,11.43870968,0.612903226,0.837741935,0.217451613,63.70967742
AB1,2018,11,4.04,1.036666667,0.384666667,0.245333333,71.8
AB1,2018,12,2.15483871,0.432258065,0.388387097,0.250225806,65.03225806
AB1,2019,1,2.522580645,0.341935484,0.381612903,0.263677419,67.35483871
AB1,2019,2,-14.10357143,0.935714286,0.085,0.268928571,68.39285714
AB1,2019,3,4.04516129,0.458064516,0.591935484,0.303322581,71.48387097
AB1,2019,4,13.22666667,0.856666667,1.121,0.245733333,52.86666667
AB1,2019,5,17.1483871,1.251612903,1.466129032,0.228419355,55.09677419
AB1,2019,6,23.36333333,2.543333333,2.039666667,0.221666667,57.06666667
AB1,2019,7,26.67741935,0.858064516,2.52483871,0.199096774,55.12903226
AB1,2019,8,24.92580645,1.012903226,2.18516129,0.203709677,57.74193548
AB1,2019,9,18.47666667,2.763333333,1.357666667,0.246966667,66.4
AB1,2019,10,9.196774194,0.541935484,0.726774194,0.260129032,61.74193548
AB1,2019,11,2.38,1.44,0.328333333,0.285433333,74.2
AB1,2019,12,0.635483871,0.583870968,0.267096774,0.302483871,75.61290323
AB1,2020,1,-1.458064516,0.551612903,0.328709677,0.327193548,65.64516129
AB1,2020,2,2.096551724,1.013793103,0.387241379,0.33162069,70.31034483
AB1,2020,3,4.558064516,0.690322581,0.606774194,0.316741935,59.93548387
AB1,2020,4,10.15,0.673333333,0.981,0.299066667,52.43333333
