Region,Year,Month,temperature_2m_max,precipitation_sum,vapour_pressure_deficit_max,soil_moisture_0_to_7cm_mean,relative_humidity_2m_mean
California,2024,8,37.50322581,0,5.69483871,0.139193548,29.70967742
California,2024,9,34.47333333,0.05,4.667333333,0.1433,35.96666667
California,2024,10,29.52903226,0.112903226,3.561290323,0.154419355,40.29032258
California,2024,11,17.09666667,3.136666667,1.208,0.231,62.4
California,2024,12,14.55483871,1.303225806,0.662903226,0.267870968,75.96774194
Colorado,2000,1,-5.416129032,0.8,0.219677419,0.347903226,70.19354839
Colorado,2000,2,-2.072413793,0.844827586,0.309655172,0.335517241,67.24137931
Colorado,2000,3,-1.335483871,1.903225806,0.326774194,0.326096774,68.35483871
Colorado,2000,4,3.7,1.97,0.534333333,0.3388,62.5
Colorado,2000,5,9.238709677,1.264516129,0.831290323,0.406806452,55.90322581
Colorado,2000,6,14.85,1.856666667,1.233666667,0.3594,55.2
Colorado,2000,7,17.99032258,1.922580645,1.471612903,0.344451613,57.70967742
Colorado,2000,8,17.11935484,3.522580645,1.24516129,0.348451613,66.12903226
Colorado,2000,9,12.97333333,1.5,1.055,0.3529,59.5
Colorado,2000,10,6.874193548,0.583870968,0.678709677,0.336483871,61.58064516
Colorado,2000,11,-5.256666667,0.61,0.238333333,0.343466667,67.66666667
Colorado,2000,12,-5.377419355,0.787096774,0.223548387,0.357290323,70.83870968
Colorado,2001,1,-5.812903226,0.435483871,0.24,0.340290323,68.22580645
Colorado,2001,2,-4.171428571,0.971428571,0.2525,0.335428571,70.10714286
Colorado,2001,3,-1.909677419,1.461290323,0.308064516,0.327677419,71.09677419
Colorado,2001,4,3.023333333,1.746666667,0.501333333,0.3365,63.36666667
Colorado,2001,5,7.558064516,2.358064516,0.684516129,0.403612903,64.70967742
Colorado,2001,6,14.84,1.523333333,1.277,0.3796,52.93333333
Colorado,2001,7,18.15806452,2.303225806,1.441935484,0.348870968,61.35483871
Colorado,2001,8,15.8516129,4.722580645,1.097419355,0.38116129,69.25806452
Colorado,2001,9,12.61666667,1.62,1.000666667,0.370633333,60.2
Colorado,2001,10,6.577419355,0.477419355,0.68483871,0.334548387,55.70967742
Colorado,2001,11,1.81,0.653333333,0.500666667,0.356733333,60.6
Colorado,2001,12,-5.34516129,0.361290323,0.227741935,0.405322581,67.70967742
Colorado,2002,1,-5.735483871,0.819354839,0.230322581,0.428258065,67.67741935
Colorado,2002,2,-5.135714286,0.578571429,0.283214286,0.425571429,59.71428571
Colorado,2002,3,-3.267741935,1.329032258,0.32483871,0.407709677,62.41935484
Colorado,2002,4,4.866666667,0.476666667,0.602,0.391966667,57.9
Colorado,2002,5,8.277419355,1.548387097,0.829677419,0.398225806,53.35483871
Colorado,2002,6,16.93333333,1.046666667,1.543666667,0.333533333,48.13333333
Colorado,2002,7,19.08387097,0.906451613,1.681935484,0.274064516,51.64516129
Colorado,2002,8,17.20645161,1.316129032,1.472903226,0.290774194,54.32258065
Colorado,2002,9,12.05666667,2.206666667,0.95,0.3243,64.2
Colorado,2002,10,4.103225806,1.803225806,0.546451613,0.351354839,62.22580645
Colorado,2002,11,-1.906666667,0.816666667,0.301333333,0.3309,69.03333333
Colorado,2002,12,-5.570967742,0.05483871,0.212903226,0.321193548,72.19354839
Colorado,2003,1,-2.277419355,0.422580645,0.265483871,0.321677419,72.93548387
Colorado,2003,2,-6.414285714,1.421428571,0.219642857,0.3195,69.57142857
Colorado,2003,3,-1.977419355,3.074193548,0.316129032,0.314709677,68.67741935
Colorado,2003,4,2.226666667,1.683333333,0.484666667,0.314633333,62.26666667
Colorado,2003,5,7.574193548,1.116129032,0.730322581,0.367290323,62
Colorado,2003,6,12.59333333,2.006666667,1.034333333,0.3963,59.46666667
Colorado,2003,7,20.27741935,1.370967742,1.871935484,0.287645161,49.41935484
Colorado,2003,8,16.97419355,2.358064516,1.273225806,0.338290323,64.87096774
Colorado,2003,9,11.89666667,1.556666667,0.960333333,0.354,59.96666667
Colorado,2003,10,8.970967742,0.735483871,0.822258065,0.318258065,55.12903226
Colorado,2003,11,-2.1,1.013333333,0.287333333,0.333733333,69.16666667
Colorado,2003,12,-3.590322581,0.496774194,0.270322581,0.375870968,67.74193548
Colorado,2004,1,-5.277419355,1.074193548,0.239354839,0.376096774,69.03225806
Colorado,2004,2,-6.020689655,1.072413793,0.232758621,0.359517241,69.06896552
Colorado,2004,3,1.641935484,0.674193548,0.460322581,0.350709677,63.29032258
Colorado,2004,4,1.836666667,3.296666667,0.404333333,0.360733333,69.6
Colorado,2004,5,8.238709677,0.687096774,0.793870968,0.39716129,54.41935484
Colorado,2004,6,13.01666667,3.746666667,1.007333333,0.390966667,62.36666667
Colorado,2004,7,16.33225806,3.4,1.271290323,0.367935484,60.77419355
Colorado,2004,8,14.73870968,2.696774194,1.151612903,0.36116129,61.74193548
Colorado,2004,9,11.25333333,1.72,0.892,0.357233333,64.5
